Title;Issn;SJR Best Quartile;Categories
Critical Education;19204175;Q3;Education (Q3)
Environmental History;19308892, 10845453;Q1;"History (Q1); Environmental Science (miscellaneous) (Q3)"
Fennoscandia Archaeologica;07817126;Q1;"Archeology (Q1); Archeology (arts and humanities) (Q1)"
French Screen Studies;26438941, 2643895X;Q1;"Visual Arts and Performing Arts (Q1); Communication (Q2)"
Hacettepe Journal of Mathematics and Statistics;2651477X, 13035010;Q3;"Algebra and Number Theory (Q3); Analysis (Q3); Geometry and Topology (Q3); Statistics and Probability (Q3)"
Herpetological Journal;02680130;Q2;"Animal Science and Zoology (Q2); Nature and Landscape Conservation (Q2); Ecological Modeling (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
Imagination, Cognition and Personality;15414477, 02762366;Q3;"Psychology (miscellaneous) (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
International Journal of Vegetable Science;19315279, 19315260;Q2;"Agronomy and Crop Science (Q2); Plant Science (Q2)"
International Perspectives in Psychology: Research, Practice, Consultation;21573891, 21573883;Q3;"Applied Psychology (Q3); Clinical Psychology (Q3); Social Psychology (Q3)"
Journal of Curriculum and Pedagogy;15505170, 21568154;Q3;Education (Q3)
Journal of Pancreatology;25773577, 20965664;Q3;"Endocrinology, Diabetes and Metabolism (Q3); Hepatology (Q3); Endocrinology (Q4)"
Journal of Photonics for Energy;19477988;Q3;"Atomic and Molecular Physics, and Optics (Q3); Renewable Energy, Sustainability and the Environment (Q3)"
Pediatric Annals;00904481, 19382359;Q3;Pediatrics, Perinatology and Child Health (Q3)
Risk Management;17434637, 14603799;Q3;"Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3); Strategy and Management (Q3)"
Seminars in Interventional Radiology;10988963, 07399529;Q3;"Cardiology and Cardiovascular Medicine (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
Turkish Neurosurgery;26515032, 10195149;Q3;"Neurology (clinical) (Q3); Surgery (Q3)"
Accounting History Review;21552851, 2155286X;Q1;"History (Q1); Accounting (Q3); Business, Management and Accounting (miscellaneous) (Q3)"
ACM Transactions on Modeling and Computer Simulation;15581195, 10493301;Q3;"Computer Science Applications (Q3); Modeling and Simulation (Q3)"
American Journal of Dentistry;08948275;Q3;"Dentistry (miscellaneous) (Q3); Medicine (miscellaneous) (Q3)"
Arheoloski Vestnik;15811204, 05708966;Q1;"Archeology (Q1); Archeology (arts and humanities) (Q1)"
Asian Journal of Social Science;15684849, 15685314;Q2;Social Sciences (miscellaneous) (Q2)
Bulletin of Marine Science;00074977;Q3;"Aquatic Science (Q3); Oceanography (Q3)"
Economists' Voice;21946167, 15533832;Q2;"Economics, Econometrics and Finance (miscellaneous) (Q2); Business, Management and Accounting (miscellaneous) (Q3)"
Fiber and Integrated Optics;10964681, 01468030;Q3;"Atomic and Molecular Physics, and Optics (Q3); Electronic, Optical and Magnetic Materials (Q3)"
Formal Methods in System Design;15728102, 09259856;Q3;"Hardware and Architecture (Q3); Software (Q3); Theoretical Computer Science (Q4)"
INFORMS Transactions on Education;15320545;Q2;"Management Information Systems (Q2); Education (Q3); Management Science and Operations Research (Q3)"
International Electronic Journal of Geometry;13075624;Q3;"Applied Mathematics (Q3); Geometry and Topology (Q3); Mathematical Physics (Q3)"
Iranian Journal of Science and Technology - Transactions of Mechanical Engineering;22286187, 23641835;Q2;"Computational Mechanics (Q2); Mechanical Engineering (Q3); Mechanics of Materials (Q3)"
Ius et Praxis;07180012, 07172877;Q2;Law (Q2)
Journal of Advanced Research in Experimental Fluid Mechanics and Heat Transfer;27568202;Q3;"Environmental Science (miscellaneous) (Q3); Mechanical Engineering (Q3)"
Journal of Near Infrared Spectroscopy;17516552, 09670335;Q3;Spectroscopy (Q3)
Lankesteriana;14093871, 22152067;Q3;Plant Science (Q3)
Machine Translation;09226567, 15730573;Q2;"Linguistics and Language (Q2); Artificial Intelligence (Q3); Software (Q3)"
Medien und Kommunikationswissenschaft;1615634X;Q2;"Communication (Q2); Linguistics and Language (Q2)"
Multidiscipline Modeling in Materials and Structures;15736105, 15736113;Q3;"Materials Science (miscellaneous) (Q3); Mechanical Engineering (Q3); Mechanics of Materials (Q3); Modeling and Simulation (Q3)"
Organization, Technology and Management in Construction;18476228;Q3;"Building and Construction (Q3); Civil and Structural Engineering (Q3); Management of Technology and Innovation (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)"
Osaka Journal of Mathematics;00306126;Q3;Mathematics (miscellaneous) (Q3)
Political Science;00323187, 20410611;Q2;Sociology and Political Science (Q2)
Stapp car crash journal;15328546;Q3;Medicine (miscellaneous) (Q3)
Taiwania;0372333X;Q3;"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
Theoretical Medicine and Bioethics;15731200, 13867415;Q3;"Issues, Ethics and Legal Aspects (Q3); Medicine (miscellaneous) (Q3)"
Arab Journal of Gastroenterology;20902387, 16871979;Q3;Gastroenterology (Q3)
Brazilian Journal of Nephrology;01012800, 21758239;Q3;Nephrology (Q3)
Canadian Studies in Population;03801489;Q1;"History (Q1); Demography (Q2)"
Clinical Journal of Oncology Nursing;1538067X, 10921095;Q3;"Oncology (Q3); Oncology (nursing) (Q3)"
Contemporary Mathematics;02714132, 10983627;Q3;Mathematics (miscellaneous) (Q3)
Electronic Journal of the International Federation of Clinical Chemistry and Laboratory Medicine;16503414;Q3;"Biochemistry (medical) (Q3); Clinical Biochemistry (Q3)"
Eurasian Journal of Medicine;13088734, 13088742;Q3;Medicine (miscellaneous) (Q3)
Higher Learning Research Communications;21576254;Q3;Education (Q3)
International Journal of Innovative Computing, Information and Control;13494198;Q3;"Computational Theory and Mathematics (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q4)"
Journal for the Cognitive Science of Religion;20497563, 20497555;Q1;"Religious Studies (Q1); Neuropsychology and Physiological Psychology (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
Journal of Health Literacy;24764728;Q3;Public Health, Environmental and Occupational Health (Q3)
Journal of Mediterranean Archaeology;17431700, 09527648;Q1;"Archeology (arts and humanities) (Q1); Arts and Humanities (miscellaneous) (Q2); Geography, Planning and Development (Q2)"
Journal of Sustainable Real Estate;19498276, 19498284;Q2;"Geography, Planning and Development (Q2); Nature and Landscape Conservation (Q2); Urban Studies (Q2); Management, Monitoring, Policy and Law (Q3)"
LEARN Journal: Language Education and Acquisition Research Network;26300672, 26729431;Q2;"Linguistics and Language (Q2); Education (Q3)"
Marine and Freshwater Behaviour and Physiology;10290362, 10236244;Q3;"Aquatic Science (Q3); Oceanography (Q3); Physiology (Q4)"
Mechanics and Industry;22577777, 22577750;Q2;"Industrial and Manufacturing Engineering (Q2); Materials Science (miscellaneous) (Q3); Mechanical Engineering (Q3)"
Quarterly Journal of Engineering Geology and Hydrogeology;14709236;Q3;"Earth and Planetary Sciences (miscellaneous) (Q3); Geology (Q3); Geotechnical Engineering and Engineering Geology (Q3)"
Revista de la Facultad de Ciencias Agrarias;03704661, 18538665;Q2;"Agronomy and Crop Science (Q2); Plant Science (Q3)"
State Crime Journal;20466056;Q2;"Law (Q2); Management, Monitoring, Policy and Law (Q3)"
University of New South Wales Law Journal;18392881, 03130096;Q1;"Philosophy (Q1); Law (Q2); Sociology and Political Science (Q2)"
Vestnik Rossiyskikh Universitetov. Matematika;27823342, 26869667;Q3;Mathematics (miscellaneous) (Q3)
Washington Law Review;00430617;Q2;Law (Q2)
Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University;02582724;Q2;Multidisciplinary (Q2)
Zoomorphology;1432234X, 0720213X;Q2;"Animal Science and Zoology (Q2); Developmental Biology (Q4)"
Annals of Hepato-Biliary-Pancreatic Surgery;25085859, 25085778;Q3;"Gastroenterology (Q3); Hepatology (Q3); Surgery (Q3); Transplantation (Q3)"
Arab Gulf Journal of Scientific Research;25360051, 19859899;Q2;"Agronomy and Crop Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3); Education (Q3); Water Science and Technology (Q3)"
Arboricultural Journal;21681074, 03071375;Q2;Agronomy and Crop Science (Q2)
BRICS Law Journal;24122343, 24099058;Q2;Law (Q2)
Canadian Journal of Veterinary Research;19289022, 08309000;Q2;"Veterinary (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)"
Children's Health Care;15326888, 02739615;Q3;"Clinical Psychology (Q3); Developmental and Educational Psychology (Q3); Pediatrics, Perinatology and Child Health (Q3)"
Current Treatment Options in Cardiovascular Medicine;15343189, 10928464;Q3;Cardiology and Cardiovascular Medicine (Q3)
Formacion Universitaria;07185006;Q3;Education (Q3)
Gongcheng Kexue Xuebao/Chinese Journal of Engineering;20959389;Q2;Engineering (miscellaneous) (Q2)
International Aquatic Research;20086970, 20084935;Q3;Aquatic Science (Q3)
International Journal of Energy Economics and Policy;21464553;Q2;"Economics, Econometrics and Finance (miscellaneous) (Q2); Energy (miscellaneous) (Q3)"
Izvestiya, Physics of the Solid Earth;10693513, 15556506;Q3;"Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3)"
Journal of Balkan and Near Eastern Studies;19448953, 19448961;Q1;"History (Q1); Political Science and International Relations (Q2)"
Journal of International Crisis and Risk Communication Research;25760025, 25760017;Q2;"Communication (Q2); Safety Research (Q2); Decision Sciences (miscellaneous) (Q3)"
Journal of Quantitative Analysis in Sports;21946388, 15590410;Q2;"Social Sciences (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q3)"
Personalized Medicine in Psychiatry;24681725, 24681717;Q3;"Clinical Psychology (Q3); Neurology (clinical) (Q3); Psychiatry and Mental Health (Q3)"
Polis. Political Studies;10269487, 16840070;Q2;"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
Population Medicine;26541459;Q3;"Epidemiology (Q3); Health Informatics (Q3); Health Policy (Q3); Health (social science) (Q3); Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)"
Spatial Cognition and Computation;13875868;Q2;"Computer Graphics and Computer-Aided Design (Q2); Earth-Surface Processes (Q2); Computer Vision and Pattern Recognition (Q3); Modeling and Simulation (Q3); Experimental and Cognitive Psychology (Q4)"
STEM Education;27671925;Q3;"Applied Mathematics (Q3); Education (Q3)"
Advances in Mathematical Sciences and Applications;13434373;Q3;"Analysis (Q3); Applied Mathematics (Q3); Modeling and Simulation (Q3); Numerical Analysis (Q3)"
Aestimum;15926117, 17242118;Q2;"Economics, Econometrics and Finance (miscellaneous) (Q2); Urban Studies (Q2); Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3)"
American Journal of Family Therapy;01926187, 15210383;Q3;"Clinical Psychology (Q3); Social Psychology (Q3)"
Artificial Life;10645462, 15309185;Q3;"Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
Breast Disease;08886008, 15581551;Q3;"Medicine (miscellaneous) (Q3); Oncology (Q3); Cancer Research (Q4)"
Cambridge Classical Journal;17502705, 2047993X;Q1;"Classics (Q1); Literature and Literary Theory (Q1); Linguistics and Language (Q2)"
Canadian Journal of Plant Science;00084220, 19181833;Q2;"Agronomy and Crop Science (Q2); Horticulture (Q2); Plant Science (Q3)"
Corpora;17551676, 17495032;Q2;Linguistics and Language (Q2)
Economics;18646042;Q2;Economics, Econometrics and Finance (miscellaneous) (Q2)
Estetika: The European Journal of Aesthetics;00141291, 25710915;Q1;"Literature and Literary Theory (Q1); Philosophy (Q1); Visual Arts and Performing Arts (Q1)"
Film Quarterly;00151386, 15338630;Q1;Visual Arts and Performing Arts (Q1)
Folia Phoniatrica et Logopaedica;14219972, 10217762;Q2;"Linguistics and Language (Q2); LPN and LVN (Q3); Speech and Hearing (Q3)"
Gene Expression Patterns;1567133X, 18727298;Q4;"Developmental Biology (Q4); Genetics (Q4); Molecular Biology (Q4)"
Hardy-Ramanujan Journal;28047370;Q3;Algebra and Number Theory (Q3)
Human Technology;17956889;Q2;"Communication (Q2); Human-Computer Interaction (Q3); Social Psychology (Q3)"
International Journal of Humanoid Robotics;17936942, 02198436;Q3;"Artificial Intelligence (Q3); Mechanical Engineering (Q3)"
Journal of Qur'anic Studies;17551730, 14653591;Q1;Religious Studies (Q1)
Koedoe;20710771, 00756458;Q3;"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
Malawi Medical Journal;19957270, 19957262;Q3;Medicine (miscellaneous) (Q3)
Modern Tunnelling Technology;10096582;Q3;Civil and Structural Engineering (Q3)
Philosophical Papers;05568641, 19968523;Q1;Philosophy (Q1)
Politica y Gobierno;14051060, 16652037;Q2;Political Science and International Relations (Q2)
SAR and QSAR in Environmental Research;1029046X, 1062936X;Q3;"Bioengineering (Q3); Drug Discovery (Q3); Medicine (miscellaneous) (Q3); Molecular Medicine (Q4)"
Trends in Phytochemical Research;25883623, 25883631;Q3;"Biochemistry (Q3); Drug Discovery (Q3); Organic Chemistry (Q3); Pharmacology (Q3); Plant Science (Q3)"
American Quarterly;00030678, 10806490;Q1;"Cultural Studies (Q1); History (Q1)"
Annals of Pediatric Cardiology;09742069, 09745149;Q3;"Cardiology and Cardiovascular Medicine (Q3); Pediatrics, Perinatology and Child Health (Q3)"
Applied Science and Engineering Progress;26730421, 26729156;Q2;"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Chemical Engineering (miscellaneous) (Q3)"
Baghdad Science Journal;24117986, 20788665;Q2;"Agricultural and Biological Sciences (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3)"
Brazilian Journal of Cardiovascular Surgery;01027638, 16789741;Q3;"Cardiology and Cardiovascular Medicine (Q3); Medicine (miscellaneous) (Q3); Surgery (Q3)"
Business, Management and Economics Engineering;2669249X, 26692481;Q2;"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3); Development (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)"
Canadian Journal of Linguistics;17101115, 00084131;Q2;Linguistics and Language (Q2)
Frontiers of Mathematics;27318656, 27318648;Q3;Mathematics (miscellaneous) (Q3)
Hemato;26736357;Q3;Hematology (Q3)
IAES International Journal of Artificial Intelligence;20894872, 22528938;Q2;"Information Systems and Management (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)"
International Journal of Developmental Biology;16963547, 02146282;Q3;"Embryology (Q3); Developmental Biology (Q4)"
International Journal of Electronic Government Research;15483894, 15483886;Q2;"Social Sciences (miscellaneous) (Q2); Computer Networks and Communications (Q3); E-learning (Q3); Hardware and Architecture (Q3); Software (Q3)"
International Journal of Strategic Property Management;1648715X, 16489179;Q3;Strategy and Management (Q3)
International Review of Economics;18634613, 18651704;Q2;Economics, Econometrics and Finance (miscellaneous) (Q2)
Iraqi Journal of Science;00672904;Q3;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biotechnology (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Geology (Q3)"
Japanese Journal of Political Science;14681099, 14740060;Q2;"Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
Journal of Applied Non-Classical Logics;19585780, 11663081;Q1;"Philosophy (Q1); Logic (Q3)"
Journal of Bioeconomics;13876996, 15736989;Q2;"Geography, Planning and Development (Q2); Economics and Econometrics (Q3)"
Journal of The Institution of Engineers (India): Series D;22502130, 22502122;Q2;"Metals and Alloys (Q2); Geotechnical Engineering and Engineering Geology (Q3); Materials Chemistry (Q3); Mechanical Engineering (Q3)"
Metron;00261424, 2281695X;Q3;Statistics and Probability (Q3)
Mongolian Studies;25001523, 27128059;Q1;"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Anthropology (Q2); Arts and Humanities (miscellaneous) (Q2); Linguistics and Language (Q2); Social Sciences (miscellaneous) (Q2)"
Multicultural Perspectives;15327892, 15210960;Q1;Cultural Studies (Q1)
Numerical Algebra, Control and Optimization;21553289, 21553297;Q3;"Algebra and Number Theory (Q3); Applied Mathematics (Q3); Control and Optimization (Q3)"
Operational Research in Engineering Sciences: Theory and Applications;26201747, 26201607;Q2;"Engineering (miscellaneous) (Q2); Management Science and Operations Research (Q3)"
Psychologische Rundschau;00333042;Q3;Psychology (miscellaneous) (Q3)
Public Administration and Policy;2517679X, 17272645;Q2;"Geography, Planning and Development (Q2); Public Administration (Q2); Sociology and Political Science (Q2); Health (social science) (Q3)"
Recent Patents on Nanotechnology;22124020, 18722105;Q2;"Engineering (miscellaneous) (Q2); Condensed Matter Physics (Q3); Materials Science (miscellaneous) (Q3); Nanoscience and Nanotechnology (Q3)"
Sociologica;19718853;Q2;Sociology and Political Science (Q2)
Structural Chemistry;15729001, 10400400;Q3;"Condensed Matter Physics (Q3); Physical and Theoretical Chemistry (Q3)"
Tribology;10040595;Q3;"Materials Chemistry (Q3); Mechanical Engineering (Q3); Mechanics of Materials (Q3); Surfaces, Coatings and Films (Q3)"
Vestnik Volgogradskogo Gosudarstvennogo Universiteta. Seriya 2. Yazykoznanie;24091979, 19989911;Q2;"Linguistics and Language (Q2); Education (Q3)"
World Federation of Occupational Therapists Bulletin;20566077, 14473828;Q2;"Occupational Therapy (Q2); Rehabilitation (Q3)"
World Journal of Pediatric Surgery;25165410;Q3;"Pediatrics, Perinatology and Child Health (Q3); Surgery (Q3)"
Zeitschrift fur Gerontologie und Geriatrie;09486704, 14351269;Q3;"Gerontology (Q3); Health (social science) (Q3); Issues, Ethics and Legal Aspects (Q3); Geriatrics and Gerontology (Q4)"
Acta Botanica Brasilica;1677941X, 01023306;Q3;Plant Science (Q3)
Advances in Rehabilitation;17344948, 08606161;Q3;Rehabilitation (Q3)
Astronomy Letters;10637737, 15626873;Q3;"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
Bothalia;23119284, 00068241;Q3;"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
Communicative and Integrative Biology;19420889;Q2;Agricultural and Biological Sciences (miscellaneous) (Q2)
Curator;21516952;Q1;"Conservation (Q1); Museology (Q1)"
Defense and Security Analysis;14751798;Q2;"Geography, Planning and Development (Q2); Political Science and International Relations (Q2)"
Developing World Bioethics;14718731, 14718847;Q3;"Health Policy (Q3); Health (social science) (Q3); Issues, Ethics and Legal Aspects (Q3)"
Dostoevsky and World Culture. Philological Journal;27128512, 26190311;Q1;Literature and Literary Theory (Q1)
Economics of Governance;14356104, 14358131;Q2;"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3)"
Electromagnetic Biology and Medicine;15368386, 15368378;Q3;"Biophysics (Q3); Medicine (miscellaneous) (Q3)"
International Journal of Energy for a Clean Environment;2150363X, 21503621;Q2;"Automotive Engineering (Q2); Energy Engineering and Power Technology (Q3); Pollution (Q3)"
Iranian Journal of Fuzzy Systems;17350654;Q2;"Information Systems and Management (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Mathematics (miscellaneous) (Q3)"
Israel Law Review;20479336, 00212237;Q2;Law (Q2)
Journal of Immunoassay and Immunochemistry;15321819, 15324230;Q2;"Medical Laboratory Technology (Q2); Clinical Biochemistry (Q4); Immunology (Q4); Immunology and Allergy (Q4)"
Kolner Zeitschrift fur Soziologie und Sozialpsychologie;00232653, 1861891X;Q2;"Sociology and Political Science (Q2); Social Psychology (Q3)"
Legume Research;02505371, 09760571;Q2;"Agronomy and Crop Science (Q2); Plant Science (Q3); Soil Science (Q3)"
Modern and Contemporary France;14699869, 09639489;Q1;"Cultural Studies (Q1); History (Q1); Sociology and Political Science (Q2)"
Music Therapy Perspectives;07346875, 20537387;Q1;"Music (Q1); Complementary and Alternative Medicine (Q2); Applied Psychology (Q3)"
News of the National Academy of Sciences of the Republic of Kazakhstan, Series of Geology and Technical Sciences;2518170X, 22245278;Q3;"Geology (Q3); Geotechnical Engineering and Engineering Geology (Q3)"
Pan African Medical Journal;19378688;Q3;Medicine (miscellaneous) (Q3)
Pharmacia;04280296;Q2;"Pharmacy (Q2); Pharmaceutical Science (Q3); Pharmacology (medical) (Q3)"
Region;24095370;Q2;"Geography, Planning and Development (Q2); Economics and Econometrics (Q3)"
REVESCO Revista de Estudios Cooperativos;18858031, 11356618;Q2;"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3)"
Revista de Artes Marciales Asiaticas;21740747;Q2;"Anthropology (Q2); Social Sciences (miscellaneous) (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Tourism, Leisure and Hospitality Management (Q3)"
Revista Latinoamericana de Psicologia;01200534;Q2;"Social Sciences (miscellaneous) (Q2); Psychology (miscellaneous) (Q3)"
Saude e Sociedade;01041290;Q3;"Health (social science) (Q3); Public Health, Environmental and Occupational Health (Q3)"
Terapia Psicologica;07166184, 07184808;Q3;"Clinical Psychology (Q3); Psychiatry and Mental Health (Q3)"
Transactions of the Moscow Mathematical Society;00771554, 1547738X;Q3;Mathematics (miscellaneous) (Q3)
American Fern Journal;00028444;Q3;"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
Annals of Finance;16142454, 16142446;Q2;"Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q3)"
Asia-Pacific Journal of Chemical Engineering;19322135;Q3;"Chemical Engineering (miscellaneous) (Q3); Renewable Energy, Sustainability and the Environment (Q3); Waste Management and Disposal (Q3)"
Bradleya;0265086X;Q2;Horticulture (Q2)
Brazilian Journal of Geology;23174692, 23174889;Q3;Earth and Planetary Sciences (miscellaneous) (Q3)
Cardiovascular and Hematological Agents in Medicinal Chemistry;18756182, 18715257;Q3;"Cardiology and Cardiovascular Medicine (Q3); Hematology (Q3); Medicine (miscellaneous) (Q3); Pharmacology (Q3)"
Comparative Cytogenetics;1993078X, 19930771;Q2;"Animal Science and Zoology (Q2); Biotechnology (Q3); Insect Science (Q3); Plant Science (Q3); Genetics (Q4)"
Development;10116370, 14617072;Q2;"Geography, Planning and Development (Q2); Development (Q3)"
Earthquake and Structures;20927614, 20927622;Q3;Civil and Structural Engineering (Q3)
Electronic Research Archive;26881594;Q3;Mathematics (miscellaneous) (Q3)
European Journal of Physics;01430807, 13616404;Q2;"Physics and Astronomy (miscellaneous) (Q2); Education (Q3)"
High-Performance Graphics - ACM SIGGRAPH / Eurographics Symposium Proceedings, HPG;20798687, 20798679;-;"Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Hardware and Architecture; Software"
International Journal of Numerical Modelling: Electronic Networks, Devices and Fields;08943370, 10991204;Q3;"Computer Science Applications (Q3); Electrical and Electronic Engineering (Q3); Modeling and Simulation (Q3)"
Interpretation;23248858, 23248866;Q3;"Geology (Q3); Geophysics (Q3)"
Journal for the Study of the Old Testament;14766728, 03090892;Q1;Religious Studies (Q1)
Journal of Biomedical Nanotechnology;15507041, 15507033;Q3;"Biomedical Engineering (Q3); Materials Science (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Nanoscience and Nanotechnology (Q3); Pharmaceutical Science (Q3); Bioengineering (Q4)"
Journal of Chengdu University of Technology (Science and Technology Edition);16719727;Q3;Geology (Q3)
Journal of Interdisciplinary Mathematics;09720502;Q3;"Analysis (Q3); Applied Mathematics (Q3)"
Journal of Natural History;00222933, 14645262;Q3;Ecology, Evolution, Behavior and Systematics (Q3)
Medical Problems of Performing Artists;19382766, 08851158;Q2;"History and Philosophy of Science (Q2); Medicine (miscellaneous) (Q3)"
Medycyna Pracy;23531339, 04655893;Q3;"Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)"
Notulae Botanicae Horti Agrobotanici Cluj-Napoca;0255965X, 18424309;Q2;"Agronomy and Crop Science (Q2); Horticulture (Q2); Plant Science (Q3)"
Psychiatria Polska;00332674, 23915854;Q3;"Medicine (miscellaneous) (Q3); Psychiatry and Mental Health (Q3)"
Revista Brasileira de Botanica;01008404, 18069959;Q3;Plant Science (Q3)
Trudy Instituta Matematiki i Mekhaniki UrO RAN;26584786, 01344889;Q2;"Computational Mechanics (Q2); Applied Mathematics (Q3); Computer Science Applications (Q3); Mathematics (miscellaneous) (Q3)"
Urology Annals;09747834, 09747796;Q3;Urology (Q3)
Zygon;05912385, 14679744;Q1;"Cultural Studies (Q1); Religious Studies (Q1); Education (Q3)"
ACM Transactions on Spatial Algorithms and Systems;23740361, 23740353;Q3;"Computer Science Applications (Q3); Discrete Mathematics and Combinatorics (Q3); Geometry and Topology (Q3); Information Systems (Q3); Modeling and Simulation (Q3); Signal Processing (Q3)"
Advances in Science and Research;19920636, 19920628;Q3;"Atmospheric Science (Q3); Ecological Modeling (Q3); Geophysics (Q3); Pollution (Q3)"
Agricultural Research;22497218, 2249720X;Q2;"Agronomy and Crop Science (Q2); Food Science (Q3); Plant Science (Q3)"
Artificial Satellites;20836104, 0208841X;Q3;Space and Planetary Science (Q3)
Asian Affairs;03068374, 14771500;Q2;"Geography, Planning and Development (Q2); Law (Q2); Political Science and International Relations (Q2); Economics and Econometrics (Q3)"
Biotechnology Notes;26659069;Q3;"Biomedical Engineering (Q3); Biotechnology (Q3); Bioengineering (Q4)"
Botany;19162790, 19162804;Q3;"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
Diagnostica;00121924;Q3;Clinical Psychology (Q3)
Dizhen Dizhi;02534967;Q3;Geology (Q3)
Entomological Research;17382297, 17485967;Q3;Insect Science (Q3)
Estudios Sobre Educacion;15787001;Q3;Education (Q3)
High-speed Railway;20973446, 29498678;Q3;"Civil and Structural Engineering (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3)"
International Journal of Agricultural and Environmental Information Systems;19473206, 19473192;Q3;Information Systems (Q3)
Journal of Artificial Organs;14347229, 16190904;Q3;"Biomedical Engineering (Q3); Cardiology and Cardiovascular Medicine (Q3); Medicine (miscellaneous) (Q3); Biomaterials (Q4)"
Journal of Mathematical Cryptology;18622984, 18622976;Q3;"Applied Mathematics (Q3); Computational Mathematics (Q3); Computer Science Applications (Q3)"
Journal of Nuclear Medicine Technology;15355675, 00914916;Q3;"Medicine (miscellaneous) (Q3); Radiological and Ultrasound Technology (Q3); Radiology, Nuclear Medicine and Imaging (Q3)"
Journal of Plant Protection Research;14274345, 1899007X;Q2;"Agronomy and Crop Science (Q2); Plant Science (Q3); Soil Science (Q3)"
Journal of Religion in Europe;18748929, 18748910;Q1;Religious Studies (Q1)
Journal of Transport and Supply Chain Management;19955235, 23108789;Q2;"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q3); Management Science and Operations Research (Q3); Transportation (Q3)"
Kongzhi yu Juece/Control and Decision;10010920;Q3;"Artificial Intelligence (Q3); Control and Optimization (Q3); Control and Systems Engineering (Q3); Software (Q3)"
Malaysian Journal of Mathematical Sciences;18238343;Q3;Mathematics (miscellaneous) (Q3)
Papeles del Psicologo;02147823;Q3;Psychology (miscellaneous) (Q3)
Protein and Peptide Letters;09298665, 18755305;Q3;"Biochemistry (Q3); Medicine (miscellaneous) (Q3); Structural Biology (Q4)"
Retos;19882041, 15791726;Q1;"Cultural Studies (Q1); Gender Studies (Q2); Pharmacy (Q2); Education (Q3); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Rehabilitation (Q3)"
Revista Espanola de Sociologia;15782824;Q2;Sociology and Political Science (Q2)
Revista Gaucha de Enfermagem;01026933, 19831447;Q3;Nursing (miscellaneous) (Q3)
